"brand","model","color","registration_date","year","price_in_euro","power_kw","power_ps","transmission_type","fuel_type","fuel_consumption_l_100km","mileage_in_km","offer_description","length_offer_description"
"alfa-romeo","Alfa Romeo GTV","red","1995-10-01","1995","1995.0","148","148","Manual","Petrol","10.9","160500","2.0 V6 TB","9"
"alfa-romeo","Alfa Romeo Spider","black","1995-07-01","1995","1995.0","110","110","Manual","Petrol","9.5","189500","2.0 16V Twin Spark L","20"
"alfa-romeo","Alfa Romeo 164","red","1996-11-01","1996","1996.0","132","132","Manual","Petrol","7.2","96127","3.0i Super V6, absoluter Topzustand !","37"
"alfa-romeo","Alfa Romeo Spider","red","1996-04-01","1996","1996.0","110","110","Manual","Petrol","9.5","47307","2.0 16V Twin Spark","18"
"alfa-romeo","Alfa Romeo 145","red","1996-12-01","1996","1996.0","110","110","Manual","Petrol","8.8","230000","Quadrifoglio","12"
"alfa-romeo","Alfa Romeo 164","black","1996-07-01","1996","1996.0","132","132","Manual","Petrol","13.4","168000","(3.0) V6 Super","14"
"alfa-romeo","Alfa Romeo Spider","black","1996-07-01","1996","1996.0","141","141","Manual","Petrol","11.0","168600","|HU:neu|Klimaanlage|Youngtimer|","31"
"alfa-romeo","Alfa Romeo Spider","black","1996-01-01","1996","1996.0","110","110","Manual","Petrol","9.2","99000","2.0 T.Spark L *Klima *2.Hand *Zahnriemen","40"
"alfa-romeo","Alfa Romeo Spider","silver","1996-02-01","1996","1996.0","141","141","Manual","Petrol","11.1","157000","3.0 V6 L","8"
"alfa-romeo","Alfa Romeo Spider","silver","1996-10-01","1996","1996.0","110","110","Manual","Petrol","9.5","15550","2.0 spider","10"
"alfa-romeo","Alfa Romeo GTV","silver","1996-04-01","1996","1996.0","110","110","Manual","Petrol","9.5","333500","GTV 2.0 Twin Spark 16V","22"
"alfa-romeo","Alfa Romeo GTV","grey","1997-05-01","1997","1997.0","162","162","Manual","Petrol","11.7","177000","3.0 V6 24v","10"
"alfa-romeo","Alfa Romeo 155","grey","1997-06-01","1997","1997.0","88","88","Manual","Petrol","8.4","101726","1.6l Twin Spark, Erstlack,sehr gepflegt","39"
"alfa-romeo","Alfa Romeo GTV","red","1997-10-01","1997","1997.0","148","148","Manual","Petrol","10.9","178000","2.0 V6 TB","9"
"alfa-romeo","Alfa Romeo GTV","red","1997-03-01","1997","1997.0","110","110","Manual","Petrol","9.2","110313","2.0 16V T.Spark L","17"
"alfa-romeo","Alfa Romeo GTV","red","1997-01-01","1997","1997.0","162","162","Manual","Petrol","11.7","174000","GTV 3.0 V6 24V","14"
"alfa-romeo","Alfa Romeo 145","red","1997-03-01","1997","1997.0","88","88","Manual","Petrol","8.2","124963","Scuola Sportiva/Wertgutachten Note 2","36"
"alfa-romeo","Alfa Romeo Spider","red","1997-02-01","1997","1997.0","110","110","Manual","Petrol","9.2","39000","2.0 16V T.Spark 39.000km","24"
"alfa-romeo","Alfa Romeo Spider","red","1997-04-01","1997","1997.0","110","110","Manual","Petrol","9.5","124112","2.0 16V Twin Spark","18"
"alfa-romeo","Alfa Romeo GTV","black","1997-06-01","1997","1997.0","162","162","Manual","Petrol","11.7","125000","3.0 V6 24V","10"
