"year","price_in_euro","power_kw","power_ps","fuel_consumption_l_100km","mileage_in_km","length_offer_description"
"2694831","2694831.0","204497","204497","9292.6","96445337","43342"
"443507","443507.0","85632","85632","2948.0","6077158","5983"
"39128023","39128023.0","3042676","3042676","122160.8","2164270217","724937"
"799121","799121.0","165209","165209","5156.4","14070302","11772"
"35727474","35727474.0","2871916","2871916","112503.8","2342215036","580780"
"237997","237997.0","25104","25104","1202.2","7026344","3960"
"229972","229972.0","27644","27644","1075.9","6396628","3489"
"40435","40435.0","4276","4276","180.7","130179","484"
"6882795","6882795.0","295831","295831","17482.4","232696890","113180"
"6048670","6048670.0","227789","227789","17133.4","148407840","103021"
"102151","102151.0","3290","3290","365.6","7424799","1020"
"361115","361115.0","10373","10373","1041.9","22156156","4291"
"547516","547516.0","81000","81000","3706.2","9069641","10029"
"642861","642861.0","149306","149306","4408.9","7732373","9568"
"8749790","8749790.0","279024","279024","23048.7","208643194","147633"
"33545140","33545140.0","1808327","1808327","99199.8","1391276645","560943"
"1350286","1350286.0","74160","74160","3809.6","35529798","22670"
"11541610","11541610.0","566212","566212","33022.7","335303300","197905"
"173320","173320.0","15663","15663","696.2","8915828","2856"
"315139","315139.0","18634","18634","1197.3","6432989","5676"
"2429521","2429521.0","231845","231845","8410.2","58244110","44321"
"3163217","3163217.0","231319","231319","10060.9","64911142","55757"
"10130796","10130796.0","528910","528910","28223.3","253335468","181444"
"326769","326769.0","10200","10200","1490.4","5566601","4500"
"554978","554978.0","133867","133867","4072.4","5738206","9122"
"192779","192779.0","9758","9758","690.7","14017357","2806"
"5567029","5567029.0","530130","530130","19770.9","162397742","83440"
"1160054","1160054.0","165598","165598","6444.6","27836313","16792"
"7830432","7830432.0","427536","427536","22330.7","207137012","149191"
"49204279","49204279.0","3904404","3904404","174292.1","2969846881","856779"
"7515636","7515636.0","410843","410843","20552.5","227220452","126301"
"1472242","1472242.0","65088","65088","3637.8","30011073","23258"
"6571946","6571946.0","324862","324862","19215.0","174407514","115807"
"36589982","36589982.0","1647660","1647660","103723.9","1554356609","606900"
"10305564","10305564.0","474134","474134","26800.8","366801198","172579"
"7036309","7036309.0","1010426","1010426","31441.3","263086464","123270"
"2000","2000.0","70","70","8.0","93000","17"
"14335372","14335372.0","631784","631784","39707.7","496215398","241636"
"68051","68051.0","3448","3448","275.3","4704604","813"
"396759","396759.0","25096","25096","1716.9","37361670","5739"
"21672127","21672127.0","1103255","1103255","58492.2","549034193","396657"
"25359739","25359739.0","1290191","1290191","67342.4","862758497","459932"
"2324424","2324424.0","64724","64724","5301.9","82816439","40918"
"581650","581650.0","35096","35096","2075.6","11848910","10325"
"14758399","14758399.0","703397","703397","35152.7","313983106","256945"
"60570617","60570617.0","3074223","3074223","179490.5","3399245934","1018251"
"7368933","7368933.0","567272","567272","19728.1","297943307","135494"
